recipe_name,LCE,cycle,0V_electrode_adsorption,4V_electrode_adsorption,0V_electrode,0V_bulk,4V_electrode,4V_Li_peak_enrichment,4V_solvent_peak_sum,4V_max_enrichment_solvent_peak
1_m_lipf6_in_ec_dec_0_15m_lidfp,1.3187587626244135,10.0,0.0390623868884738,0.015775528819007,0.1745586133182233,0.1519970729779994,0.0749865684242842,2.452311839104292,4.144076027894643,2.1751422253225514
1_m_lipf6_ec_emc_3_7_wt_2_wt_vc,0.7447274948966941,10.0,0.051025641025641,0.022001332001332,0.2124058222105707,0.1462510539755758,0.0771617233428699,3.1994205859450227,7.093178563719434,2.7517367458866544
1_m_litfsi_ec_dmc_1_1_v_2_vc,0.7447274948966941,50.0,0.0807492507492507,0.0266366966366966,0.1191625213453114,0.0928306983443045,0.0440965853413402,2.6540027137042057,7.480792668044011,3.268424090821628
1_m_libf4_ec_dmc_1_1_v_2_vc,0.6989700043360189,50.0,0.0578554778554778,0.0282850482850482,0.2458224383069129,0.1875568725516323,0.1150765202755353,2.721889480951857,6.10726508793731,2.5727474317780694
1_m_lipf6_ec_dmc_1_1_v_2_vc,0.6989700043360189,50.0,0.0627206127206127,0.0233666333666333,0.0669751999597565,0.0510419973255234,0.031305443344487,3.1907132646522403,6.932282970429032,3.249289333827709
1_m_lifsi_dol_dme_1_1_vol,1.9586073148417789,10.0,0.0364402264402264,0.0375158175158175,0.0149429476576298,0.0258886486056605,0.0176811470203992,4.909724620843408,3.555400022992375,1.9914557612355557
1m_lifsi_0_3_m_lino3_fec_gbl_1_2_v_v,1.920818753952375,200.0,0.066064704526243,0.0417838571684725,0.1620192644619733,0.1916133226645329,0.1359004690158967,3.003460976106309,4.079589958744916,2.0754731269926614
1m_lifsi_2m_litfsi_dol_dme_1_1_vol,1.8860566476931664,200.0,0.0851082251082251,0.0772094572094572,0.3410046958385155,0.3853034365603209,0.2615517951449133,1.887300879123108,5.128115424258215,3.685456199098764
1m_lifsi_fec_dec_1_2_by_volume,1.5900668766687065,10.0,0.0734398934398934,0.0381951381951382,0.0640657633466053,0.0737559072754261,0.0456759176365264,3.3726970954356847,4.0260455066147305,2.0449286316837663
1m_lifsi_dme,1.5606673061697378,10.0,0.0508824508824508,0.0174458874458874,0.0078448016209851,0.0072065936833856,0.0038470840765486,2.9804782626052937,1.503239189891853,1.503239189891853
1_m_lipf6_ec_dmc_1_1_v_0_5_m_lino3_tegdme_70,1.638272163982409,80.0,0.0254668408514562,0.025236302159379,0.0934628169197679,0.1074133808606374,0.0423894868847319,4.265810933996896,3.46866737764672,1.6948654402186
1_m_lipf6_mtfp_fec_9_1_vol,1.6197887582883936,10.0,0.0859473859473859,0.036047286047286,0.0564242485140326,0.0591745187155895,0.0314412656735286,3.693498452012384,4.055681289330547,2.118268006996576
1_m_litfsi_dol_dme_1_1_vol_2wt_lino3,1.8239087409443184,150.0,0.0658705162521956,0.0538875882387332,0.0908213143443364,0.13474700039831,0.0986501144992165,3.129542462442966,3.530698695896743,1.876142158483736
1_m_lipf6_ec_dmc_1_1_v_0_5_m_lino3_tegdme_50,1.6777807052660827,200.0,0.0451814851814851,0.0292418692418692,0.0470737913486005,0.0802453150892224,0.0375471151058277,4.871070615034168,3.9619413900236458,2.08922771611532
0_4m_litfsi_0_6m_lino3_dol_dme_1_1_vol,1.7798919119599463,250.0,0.0361371961371961,0.0376756576756576,0.1182917884776298,0.1766824741631402,0.0845527123289541,4.222482490822912,3.1379326660604723,2.125176987778317
1_m_lifsi_dmethf,1.795880017344078,40.0,0.04005328005328,0.0178654678654678,0.0061526532263502,0.0069097508661936,0.0026504270558045,3.045938981573027,1.461270459037328,1.461270459037328
1m_litfsi_dme_dol_1_1_3_lino3,1.6575773191777934,350.0,0.0696899472409676,0.0549246671695651,0.1260328824494878,0.1709919545814675,0.1103178879310344,2.665321400514487,3.4298881698261257,1.8863616821964675
0_6m_litfsi_0_4m_libob_ec_emc_5_5_wt,0.9244530386074692,10.0,0.0544588744588744,0.02005661005661,0.1246038689608243,0.1332057935649981,0.0552410992049775,2.7348138111406093,4.341120597181751,2.2365420021433877
1_m_lipf6_ec_dec_1_1_vol,0.9208187539523752,100.0,0.0362071262071262,0.0149350649350649,0.1011453460235521,0.0943679506231287,0.0429941231054747,3.032717018107081,4.103891154095544,2.3160460295261696
1_m_lipf6_ec_dec_3_7_wt,0.8860566476931632,160.0,0.0423909423909423,0.0233466533466533,0.2910632360092179,0.2133966976083576,0.1183656439812928,2.979424312793649,4.802760574293567,2.868373257494836
1_m_lipf6_ec_dmc_1_2_vol,0.8538719643217619,100.0,0.0569597069597069,0.0226939726939726,0.1128059853272317,0.0773931332423829,0.0373740299431699,3.0514797936802047,3.9171811131928194,2.246755653526717
1_m_lipf6_ec_dmc_1_2_vol_2_ttfeb,1.0457574905606752,100.0,0.0517515817515817,0.0193872793872793,0.0988207595877821,0.0850405704232529,0.0400315320323001,2.9390190229351063,3.822175255696575,2.190262392301667
1m_lipf6_ec_dec_1_1_w_w,1.0132282657337552,40.0,0.0381718281718281,0.017006327006327,0.1286411215838583,0.1154771102429894,0.0536038764385221,2.858760606918503,4.119715884035184,2.1482552488335926
0_5_m_lifsi_0_5_m_lipo2f2_dme,1.4436974992327136,170.0,0.0214918414918414,0.0068997668997669,0.0017302909051584,0.003091076187427,0.0004019046786946,5.214077488070616,1.4115353627776852,1.4115353627776852
1_m_lifsi_fec,1.410050398674293,100.0,0.0604861804861804,0.0312520812520812,0.0897079891756132,0.1247983229624611,0.0753287527870046,3.498970193021813,2.0957844193931163,2.0957844193931163
1_m_lipf6_fec_dmc_1_1_v_0_5wt_12_crown_4,1.3726341434072686,50.0,0.0884548784548784,0.0395837495837495,0.0398778776171665,0.0373677069199457,0.0275679875679875,3.043982052167053,4.4193930040813365,1.9104950651297663
1_m_lipf6_fec_dmc_1_1_v_1_25wt_12_crown_4,1.488116639021126,50.0,0.0835397935397935,0.0393739593739593,0.0380875071028492,0.0400109983059812,0.0240819653525108,2.980341536007629,7.617229869045335,3.929712460063899
2_m_lifsi_fec,1.4894549897933895,100.0,0.084054279054279,,0.2889367231197337,0.283584257576877,,,,
0_1m_lidfp_0_4m_lifsi_ec_dmc_3_7_v_v,1.2596373105057566,10.0,0.0259673659673659,0.0132134532134532,0.1283384119017745,0.1180891814804988,0.0303189876649592,3.738314556723624,3.510637124356295,1.7770649678861696
1_m_lipf6_fec_ec_dec_2_9_9_vol_0_05_m_rbno3_0_05m_18_crown_6,1.2518119729938,150.0,0.0434731934731934,0.0215551115551115,0.1103282350919402,0.0850009792226752,0.0530476605252693,3.188967772749719,5.57869134720492,2.397064669458271
2_m_lifsi_1_m_litfsi_3wt_lino3_dol_dme_1_1_v,2.045757490560675,450.0,0.0,0.0,,0.4482072371314592,,0.0,0.0030638901729754,0.0030638901729754
0_47m_lifsi_dol_btfe_1_4_w_w,1.9665762445130532,10.0,0.0,0.0,,0.4512043009657827,,0.0,0.0247642573927006,0.0152743046918299
1_2_m_lifsi_dee,2.0,10.0,0.0,0.0213397713397713,,0.7239178908604058,0.1925732881786432,1.4862385321100922,1.44077794936999,1.44077794936999
1_2m_lifsi_0_15m_lidfob_ec_emc_btfe_0_175_0_825_2_mol,1.8239087409443184,200.0,0.0,0.0,,0.6071455107903613,,0.0,0.0280124967475609,0.0280124967475609
1_2m_lifsi_dmc_btfe_1_2_mol,1.7447274948966962,60.0,0.0,0.0,,0.5527464509274312,0.0,0.3526008906845416,0.0326710066070734,0.0326710066070734
1_m_lifsi_dee,1.9586073148417789,10.0,0.0,0.0361938061938061,,0.7028327106880555,0.3645738513869592,1.8603150502941732,1.147222394719348,1.147222394719348
2_54m_lifsi_dme_btfe_1_4_w_w,2.0506099933550863,10.0,0.0,0.0,,0.6426156925961146,,0.0244814741399949,0.0452891648887534,0.0452891648887534
1_2_m_lifsi_f4dee,2.301029995663981,10.0,0.0,0.0584498834498834,,0.7134701505485921,0.4244774833010127,1.7418793197446407,1.4375044572525173,1.4375044572525173
1_2_m_lifsi_f5dee,2.301029995663981,10.0,0.0,0.1044344544344544,,0.7103130252380166,0.471672015049242,9.80457115068993,1.4433773567045445,1.4433773567045445
1_8m_lifsi_dee_btfe_1_4_w_w,2.301029995663981,10.0,0.0,0.0,,0.7326886118401515,0.0,0.0387116956244053,0.1894121011883199,0.1375668068688529
4_m_lifsi_dee,2.2076083105017474,10.0,0.0,0.0,,0.8972499746064586,,0.024062450452803,0.0,0.0
0_11_m_litfsi_3_9_m_lidfp_dme,1.2441251443275083,12.0,0.0782749588719737,0.0652539831644309,0.3313193090157975,0.3295257174000416,0.2758881279003731,1.673118778496281,1.9847921480943915,1.9847921480943915
0_1m_lidfp_0_4m_litfsi_ec_dmc_3_7_v_v,1.1938200260161125,10.0,0.0494105894105894,0.0207326007326007,0.1304039352946741,0.0970876046292934,0.0467065504570439,3.889507113386178,3.782742416358291,2.011287531434128
0_84_m_litfsi_2_7m_lidfp_dme,1.2146701649892333,12.0,0.0819246481218312,0.0720987932255537,0.280337933833976,0.3034511255402835,0.2434827177208845,2.539738208641151,1.845483387483254,1.845483387483254
1_m_lipf6_fec_dmc_1_1_v_0_25wt_12_crown_4,1.2254830342714504,50.0,0.0846719946719946,0.0393306693306693,0.0417856303113768,0.037779931172329,0.0215363431851679,3.0758981564475887,6.486198414942296,2.5798776342624063
1_m_lipf6_fec_ec_dec_2_9_9_vol,1.10790539730952,150.0,0.0433466533466533,0.0157708957708957,0.1219739661877926,0.0761399583451968,0.0448033707865168,2.9064625850340144,5.515104031821803,2.444344159968999
1_m_litfsi_ec_dmc_1_1_v_5wt_fec,1.10790539730952,50.0,0.077029637029637,0.0352880452880452,0.1277243998526202,0.0830739519193388,0.0587895576589892,3.015675724296963,5.536514014829992,2.294531301344356
1m_lifsi_ec_dec_v_1_1,1.1549019599857435,10.0,0.0275391275391275,0.0163403263403263,0.1505030785403213,0.1150646981624311,0.0604274451172946,3.139047503341028,3.974656140209364,2.267341394307568
0_1_m_li2s5_5_lino3_in_1_m_litfsi_in_dol_dme_1_1_vol,1.5228787452803372,230.0,0.0691732509914328,0.0413768050131686,0.055958572690284,0.0631747711309825,0.035632032970363,4.007107206444645,3.55199656207914,2.0863852950700856
0_5_m_litfsi_0_5_m_lino3_dol_dme_1_1_v,1.5228787452803372,100.0,0.0409157509157509,0.0424975024975025,0.1120174749991467,0.1395016725111532,0.0942049793148922,4.739079102715467,3.223608629080668,2.095660162125602
1_m_lipf6_fec_dmc_1_1_v_0_1wt_12_crown_4,1.5590909179347812,50.0,0.0859473859473859,0.0379686979686979,0.0350416252959596,0.0461654436903361,0.0175876457512771,3.078537314872884,5.587157246486424,1.8780169891754088
1_m_lipf6_fec_ec_dec_2_9_9_vol_0_1_m_rbno3_0_1m_18_crown_6,1.5376020021010437,150.0,0.0396403596403596,0.018035298035298,0.0934975467116023,0.0850206805272155,0.0456581508140001,3.018237739385347,5.436249071815704,2.324184625257252
1m_lipf6_ec_dec_1_2_w_w,0.7878123955960424,40.0,0.0331368631368631,0.0256343656343656,0.2260939549302492,0.2082882405027012,0.1244639613490384,3.2521694403424646,4.967650418917057,3.0851710366383056
1m_lipf6_ec_dmc_3_7_v_v,0.7772835288524166,10.0,0.0548618048618048,0.0194105894105894,0.1100038328861632,0.0864960239416471,0.0496507923945947,2.9646598479407613,3.934915620233969,2.246447125052353
1_m_lipf6_fec_dmc_1_1_v_1_5wt_12_crown_4,1.354577730650908,50.0,0.0892907092907092,0.0389743589743589,0.0448523668176847,0.0407629001687525,0.0246181329158387,3.0175721080779114,6.485637494272102,2.7698940183222565
1_m_lipf6_fec_dmc_1_1_v_1_75wt_12_crown_4,1.3325470471100462,50.0,0.0825574425574425,0.0332201132201132,0.0329591593026033,0.0411978225804501,0.0195502797455698,2.8173791709769773,5.461461917146365,1.8691616109933489
1_m_lifsi_ec_etfec_3_7_vol,1.602059991327962,10.0,0.033033633033633,0.0327239427239427,0.1650518945837339,0.1889103211077724,0.1090985678180286,2.7146526098253125,3.678203159810507,2.0816026079183976
1m_lipf6_fec_tfec_1_1_w_w,1.6197887582883936,40.0,0.1035864135864135,0.0517149517149517,0.0483423158582394,0.043023431447546,0.0282004481711724,4.12919867750643,4.120410780575123,2.13212274616098
1_2_m_lifsi_f3dee,2.154901959985742,10.0,0.0,0.057997557997558,,0.7160353219372928,0.3722588456881474,1.6941366574330563,1.522813969143539,1.522813969143539
1_2_m_lifsi_f6dee,2.154901959985742,10.0,0.0,,,0.728907632753889,,,,
0_6m_litfsi_0_4m_libob_ec_emc_9_1_wt,1.0809219076239265,10.0,0.0925141525141525,0.0378055278055278,0.086161279190153,0.0704794685023613,0.0461138728137514,2.769190773303082,5.464373668235397,3.798920267143631
1_m_lipf6_fec_dmc_1_1_v,1.08512818245995,50.0,0.0843256743256743,0.0392807192807192,0.0365626219838366,0.0361283809570709,0.0206301428766882,3.0351686204789154,3.7780934277601776,1.8899856439538336
1_m_lipf6_fec_dmc_1_1_v_0_75wt_12_crown_4,1.4975728800155663,50.0,0.0843023643023642,0.0406093906093906,0.0406284186216117,0.0392730547689225,0.0220233524327091,3.181047677040303,7.298938731535477,3.5296401760289924
1m_lipf6_fec_dec_1_1_w_w,1.5228787452803372,40.0,0.0904062604062604,0.0467865467865467,0.038888499052698,0.0330954849464332,0.0230547278693471,3.530743979710415,3.4686792743777737,2.0355841391152976
3_m_lifnsi_in_dol_dme,1.5228787452803372,180.0,0.0679120879120879,0.0583549783549783,0.0366202726394504,0.0236835291452244,0.0198091648015078,3.749524541135581,3.2462515834561865,1.8832929091168495
3_m_lifsi_dol_dme_1_1_vol,1.903089986991945,100.0,0.0638641535651502,0.0580217125067623,0.2295532219883791,0.2785518762474303,0.1747263607607682,2.375023084866472,3.990310041914813,2.3772648367147657
4m_lifsi_dme,2.045757490560675,,0.076282819424964,0.0676613494568606,0.286349510365651,0.2890114520757313,0.2625821917657444,2.495456043306964,1.7039320253763228,1.7039320253763228
4_5_m_lifsi_dme_1_1,2.107905397309518,500.0,0.0646146167210468,0.0611625840284376,0.2697457237895088,0.3212732178475277,,2.854608635120949,2.277052042746512,2.277052042746512
4_m_lifsi_fec,1.5867002359187476,100.0,0.0691179145044481,0.0610727593271234,0.4985493406425181,0.514611180291132,0.4599125961096453,2.9978163028880163,2.2130101237236306,2.2130101237236306
5_m_lifsi_fec,1.6289321377282644,100.0,0.0,0.0045529985649746,,0.5793316576560035,0.3699603202720896,0.2807696827821911,0.6661069030218361,0.6661069030218361
6_m_lifsi_fec,1.6326440789739811,100.0,0.0,0.0036685444339354,,0.6283088674851565,0.3322918823285841,0.261430086762586,0.5621229496391074,0.5621229496391074
3_m_litfsi_3wt_lino3_dol_dme_1_1_v,1.8239087409443184,350.0,,0.0622241742931398,,,0.3025353964240467,2.5448876224292647,4.764544704552752,3.0974859260813314
4_6_m_lifsi_dme,1.7447274948966962,200.0,0.0724012068914455,0.0651532126586356,0.3310404979930178,0.345154801751928,0.3066873873796201,2.767363840694443,2.238584708628527,2.238584708628527
3m_litfsi_dme,1.3665315444204142,10.0,0.0623827999243281,0.0579796725976128,0.1519675271250064,0.1646445638324684,0.1278113720253541,2.28724088734719,1.7361757754985072,1.7361757754985072
6_m_lipf6_ec_dec_1_1_vol,1.3979400086720373,90.0,0.0593809961530427,0.0521076261508873,0.6644562815738426,0.6709233096861186,0.6153199373668921,1.8993916685098735,4.788987718397637,2.7484960567990977
